unit	cluster	hap1	hap2	purity	score
1145	0	30	0	1.0000	320.5706
1030	0	0	27	1.0000	0.0000
355	1	0	27	1.0000	296.4108
1372	0	24	2	0.9231	154.7918
388	0	0	42	1.0000	0.0000
1538	0	0	31	1.0000	152.0170
111	1	0	33	1.0000	336.4630
1834	0	31	20	0.6078	0.0000
191	1	14	13	0.5185	51.6895
720	1	23	0	1.0000	253.2371
621	0	23	26	0.5306	0.0000
1064	0	8	18	0.6923	75.4814
1654	0	0	35	1.0000	0.0000
1209	1	0	35	1.0000	348.7025
346	0	31	1	0.9688	117.4799
1166	1	10	10	0.5000	56.4227
1560	0	21	1	0.9545	275.0678
792	1	23	1	0.9583	224.8535
78	0	0	29	1.0000	32.2054
1494	1	30	0	1.0000	285.1020
268	0	24	0	1.0000	204.5011
1825	0	2	19	0.9048	70.7552
747	0	0	22	1.0000	175.9963
1695	0	42	0	1.0000	0.0000
1127	1	20	0	1.0000	219.4165
132	0	11	10	0.5238	59.9226
1445	0	6	16	0.7273	167.7838
1599	0	20	0	1.0000	265.2734
697	1	2	16	0.8889	1359.8404
53	1	1	23	0.9583	371.6902
1366	0	21	6	0.7778	71.2702
1615	1	0	27	1.0000	285.3472
337	1	30	0	1.0000	289.6944
1350	1	31	0	1.0000	225.0829
744	1	0	21	1.0000	278.7245
9	1	1	28	0.9655	68.5672
935	1	0	24	1.0000	289.6568
303	0	41	0	1.0000	0.0000
1343	0	0	29	1.0000	0.0000
1767	0	43	0	1.0000	0.0000
340	0	26	0	1.0000	306.3704
1934	0	9	8	0.5294	78.6487
421	1	0	23	1.0000	103.2630
1611	0	0	29	1.0000	315.1134
258	1	33	0	1.0000	253.2021
542	0	0	21	1.0000	316.0341
1309	1	2	29	0.9355	292.7306
1910	0	19	24	0.5581	0.0000
913	0	32	19	0.6275	0.0000
1507	0	19	26	0.5778	0.0000
496	1	8	14	0.6364	45.7222
153	0	7	13	0.6500	1089.4656
1880	0	16	19	0.5429	0.0000
777	1	0	25	1.0000	262.7882
382	0	3	20	0.8696	69.3398
401	0	28	2	0.9333	66.6231
1357	1	14	10	0.5833	58.8041
1562	1	27	1	0.9643	93.8490
1277	1	7	17	0.7083	51.4536
779	1	1	37	0.9737	187.9966
