unit	cluster	hap1	hap2	purity	score
1475	0	19	27	0.5870	0.0000
352	1	28	0	1.0000	256.5619
1861	0	28	26	0.5185	0.0000
649	1	1	25	0.9615	44.5275
481	1	0	15	1.0000	39.2831
686	1	1	36	0.9730	313.4885
1190	0	0	23	1.0000	66.1319
483	0	0	21	1.0000	228.7276
648	0	1	27	0.9643	117.1414
428	1	1	30	0.9677	66.0787
341	1	29	0	1.0000	384.4199
1605	0	0	34	1.0000	0.0000
1869	1	3	13	0.8125	54.3239
939	0	1	28	0.9655	162.2233
1809	0	14	0	1.0000	0.0000
1443	0	0	25	1.0000	216.1495
575	0	24	1	0.9600	233.6530
1908	0	20	26	0.5652	0.0000
994	1	0	28	1.0000	182.6961
110	1	28	0	1.0000	168.4270
1452	0	29	0	1.0000	221.0345
1942	1	22	1	0.9565	50.0271
407	1	0	25	1.0000	319.2776
731	0	0	23	1.0000	180.4293
1390	0	30	0	1.0000	204.7553
1392	0	20	0	1.0000	0.0000
1205	0	36	0	1.0000	217.6090
1207	1	28	0	1.0000	244.6417
1557	0	0	21	1.0000	211.5658
1129	0	33	24	0.5789	0.0000
900	1	0	34	1.0000	555.0743
1110	0	24	0	1.0000	254.6348
859	0	1	27	0.9643	267.8344
1573	1	20	15	0.5714	57.9857
1520	0	15	1	0.9375	631.6443
788	0	26	0	1.0000	0.0000
1642	0	32	0	1.0000	334.8607
269	1	0	23	1.0000	121.2973
1552	1	0	24	1.0000	131.5856
348	0	32	1	0.9697	167.7749
1882	0	20	7	0.7407	56.1687
740	0	0	27	1.0000	64.6212
1623	0	0	22	1.0000	73.9817
1407	1	33	0	1.0000	167.1611
223	0	0	27	1.0000	84.5730
979	1	25	0	1.0000	305.0723
1169	0	0	25	1.0000	0.0000
1634	0	0	38	1.0000	0.0000
601	0	41	0	1.0000	193.1307
480	1	15	14	0.5172	67.6243
1219	1	27	0	1.0000	311.6942
1248	4	27	2	0.9310	2484.9854
761	1	0	33	1.0000	178.3157
812	1	4	2	0.6667	53.7888
833	0	0	36	1.0000	76.1910
205	0	15	7	0.6818	48.9362
1500	0	0	33	1.0000	69.1112
981	0	21	1	0.9545	257.6908
1771	0	1	3	0.7500	71.2201
48	0	35	0	1.0000	0.0000
877	1	4	6	0.6000	39.1763
467	0	0	25	1.0000	79.9215
696	1	24	0	1.0000	172.2507
976	1	21	0	1.0000	226.6989
134	1	22	0	1.0000	250.7310
81	0	28	1	0.9655	47.2035
186	0	25	0	1.0000	267.8766
1186	0	0	25	1.0000	322.1977
160	1	26	0	1.0000	239.3782
91	1	0	32	1.0000	267.5688
1426	0	22	0	1.0000	220.6585
895	1	19	25	0.5682	103.8816
612	0	0	21	1.0000	259.4193
1828	1	1	3	0.7500	248.0336
1942	0	1	15	0.9375	50.0271
982	0	21	0	1.0000	228.3189
1110	1	0	26	1.0000	254.6348
95	1	21	3	0.8750	34.8106
5	0	0	21	1.0000	139.2348
1286	0	0	26	1.0000	240.5967
1109	1	0	22	1.0000	170.4760
576	0	20	0	1.0000	110.4550
1087	0	0	30	1.0000	0.0000
1031	0	0	30	1.0000	0.0000
324	0	15	20	0.5714	57.1818
492	0	1	26	0.9630	66.4325
360	0	0	24	1.0000	684.1267
1155	0	28	3	0.9032	86.7966
832	1	20	1	0.9524	76.7716
1415	0	37	0	1.0000	0.0000
1142	1	33	0	1.0000	280.7622
1612	0	21	0	1.0000	260.2402
1160	0	5	10	0.6667	44.0977
1261	0	0	33	1.0000	401.4474
818	1	24	2	0.9231	87.8292
1566	0	26	0	1.0000	0.0000
1056	0	0	23	1.0000	0.0000
659	1	0	1	1.0000	63.1282
989	0	0	22	1.0000	199.4309
175	0	27	26	0.5094	56.1772
461	0	33	23	0.5893	64.5793
1698	1	3	9	0.7500	72.4267
1022	1	0	22	1.0000	480.5769
1371	0	15	3	0.8333	41.3512
853	1	16	1	0.9412	38.9852
835	0	25	1	0.9615	353.9959
1657	0	0	28	1.0000	0.0000
1467	1	37	0	1.0000	327.1144
964	1	30	0	1.0000	140.2654
1732	0	39	23	0.6290	0.0000
1592	1	23	0	1.0000	89.4697
140	0	33	0	1.0000	336.9898
800	1	23	21	0.5227	109.2866
562	0	22	0	1.0000	45.6204
678	1	0	31	1.0000	53.7674
1763	0	29	0	1.0000	283.1164
315	0	31	0	1.0000	111.0404
1518	0	31	0	1.0000	0.0000
925	0	0	23	1.0000	51.4154
483	1	26	0	1.0000	228.7276
1099	0	21	0	1.0000	0.0000
1441	0	0	31	1.0000	47.9391
1714	0	34	0	1.0000	175.7784
580	0	25	0	1.0000	53.7785
206	1	15	24	0.6154	43.7372
1547	0	27	0	1.0000	0.0000
613	1	0	20	1.0000	223.7510
977	0	25	0	1.0000	278.3577
1637	0	0	22	1.0000	0.0000
10	1	1	30	0.9677	127.9710
104	1	0	33	1.0000	90.8416
860	0	0	26	1.0000	89.5984
536	0	29	1	0.9667	310.5932
1307	0	29	24	0.5472	0.0000
44	1	0	25	1.0000	1311.5147
1407	0	0	24	1.0000	167.1611
1789	0	15	7	0.6818	239.3019
92	1	0	19	1.0000	317.1356
97	0	26	28	0.5185	0.0000
262	1	0	33	1.0000	408.8803
1880	0	16	19	0.5429	0.0000
1798	0	17	15	0.5312	0.0000
574	1	21	0	1.0000	215.4196
284	0	0	27	1.0000	260.3523
1454	1	37	16	0.6981	83.2364
1727	0	0	31	1.0000	0.0000
1532	0	21	0	1.0000	117.2201
431	0	0	36	1.0000	0.0000
1376	1	27	0	1.0000	243.9700
1394	0	13	0	1.0000	0.0000
125	0	1	26	0.9630	300.4941
759	1	28	2	0.9333	99.5158
480	0	14	4	0.7778	67.6243
1807	0	14	0	1.0000	0.0000
564	0	0	32	1.0000	66.6244
150	0	22	21	0.5116	1440.4547
667	1	3	20	0.8696	55.3534
1011	1	19	21	0.5250	153.2449
192	0	26	22	0.5417	0.0000
1369	1	29	1	0.9667	110.2562
1213	1	0	29	1.0000	243.7165
855	1	26	0	1.0000	242.1767
1220	1	22	0	1.0000	229.0916
1017	0	20	1	0.9524	40.4793
1674	1	24	0	1.0000	256.7851
336	1	37	0	1.0000	133.9324
756	0	30	25	0.5455	0.0000
783	0	23	0	1.0000	0.0000
665	0	33	0	1.0000	176.4641
409	0	0	17	1.0000	196.8200
149	1	21	28	0.5714	44.1240
200	5	23	0	1.0000	3372.0492
258	0	1	24	0.9600	253.2021
579	1	0	32	1.0000	129.3203
295	1	12	32	0.7273	44.0226
1526	0	0	33	1.0000	250.3985
427	0	0	28	1.0000	43.3444
1759	0	23	0	1.0000	305.6506
1820	0	24	20	0.5455	0.0000
1321	0	0	30	1.0000	327.3611
1119	1	36	0	1.0000	192.8894
1667	1	32	0	1.0000	316.2483
1435	1	0	14	1.0000	229.3720
453	0	26	0	1.0000	355.8553
538	0	24	0	1.0000	49.9971
1565	0	0	26	1.0000	282.4436
815	3	26	1	0.9630	1464.2735
1250	1	31	0	1.0000	319.2592
11	1	18	0	1.0000	191.2040
816	0	30	0	1.0000	52.6085
1652	1	26	0	1.0000	234.2436
135	1	21	0	1.0000	282.4477
30	0	22	0	1.0000	425.6484
737	0	25	1	0.9615	141.5355
664	0	30	0	1.0000	250.5598
455	1	1	23	0.9583	793.2184
1828	0	25	16	0.6098	248.0336
326	0	0	20	1.0000	148.6251
1401	0	0	31	1.0000	317.2647
601	1	0	28	1.0000	193.1307
387	0	0	38	1.0000	0.0000
1102	1	32	1	0.9697	157.3481
1859	0	22	28	0.5600	0.0000
1128	0	1	7	0.8750	66.6495
485	1	1	24	0.9600	253.8969
